srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt
2887713124,3270640130,42336,443,TCP,1684512856000,27.548,19,1648
2887713124,3270640130,57498,443,TCP,1684512840000,14.168,17,1337
2887713124,1586237068,33278,443,TCP,1684512812000,98.994,107,8051
1586237068,2887713124,443,33278,TCP,1684512812000,98.992,89,12063
3270640130,2887713124,443,35606,TCP,1684512918000,13.051,16,6465
3270640130,2887713124,443,35906,TCP,1684512914000,0.006,3,108
2887713124,3270640130,35606,443,TCP,1684512918000,13.06,18,1592
2887713124,3270640130,35906,443,TCP,1684512914000,0.001,3,120
2887713124,1586237068,33278,443,TCP,1684512911000,29.667,36,2418
1586237068,2887713124,443,33278,TCP,1684512913000,27.655,26,3020
3270640130,2887713124,443,35606,TCP,1684512941000,0.004,3,108
2887713124,3270640130,35606,443,TCP,1684512941000,0.001,3,120
3270640130,2887713124,443,32780,TCP,1684512945000,20.73,17,6564
2887713124,3270640130,32780,443,TCP,1684512945000,20.733,19,1524
3270640130,2887713124,443,54736,TCP,1684512965000,19.068,16,6380
2887713124,3270640130,54736,443,TCP,1684512965000,19.067,17,1459
2887713124,2297717106,35582,443,TCP,1684513019000,8.468,16,1302
2297717106,2887713124,443,35582,TCP,1684513019000,8.29,14,6864
2887713124,1586237068,33278,443,TCP,1684512950000,92.492,59,4202
1586237068,2887713124,443,33278,TCP,1684512941000,101.504,49,4764
3407737164,2887713124,443,56230,TCP,1684513018000,30.506,20,5576
2887713124,3407737164,56230,443,TCP,1684513017000,30.605,21,1402
3270640130,2887713124,443,38986,TCP,1684513089000,15.489,18,6578
1280049675,2887713124,443,35036,TCP,1684512977000,129.614,96,11167
2887713124,3270640130,38986,443,TCP,1684513089000,15.491,19,1647
2887713124,1280049675,35036,443,TCP,1684512977000,129.619,115,8616
2887713124,1893015771,46736,443,TCP,1684513035000,77.903,42,2906
1893015771,2887713124,443,46736,TCP,1684513035000,77.803,38,7030
3270640130,2887713124,443,42542,TCP,1684513105000,21.732,16,6322
2887713124,3270640130,42542,443,TCP,1684513105000,21.734,17,1460
3270640130,2887713124,443,48114,TCP,1684513164000,17.185,14,6322
3270640130,2887713124,443,51964,TCP,1684513126000,26.441,14,6256
755707147,2887713124,443,56286,TCP,1684513153000,36.148,17,5424
1586237199,2887713124,443,45948,TCP,1684513088000,91.32,60,8259
1495696166,2887713124,443,60004,TCP,1684513182000,3.853,16,6054
2338577992,2887713124,443,46854,TCP,1684513160000,10.343,14,5928
2338577992,2887713124,443,41376,TCP,1684513173000,11.659,19,6689
2887713124,3270640130,48114,443,TCP,1684513164000,17.185,17,1458
2887713124,3270640130,51964,443,TCP,1684513126000,26.442,17,1460
2887713124,755707147,56286,443,TCP,1684513153000,36.319,23,1875
2887713124,1586237199,45948,443,TCP,1684513088000,91.328,70,5022
2887713124,1495696166,60004,443,TCP,1684513182000,3.855,16,1138
2887713124,2338577992,46854,443,TCP,1684513160000,10.344,17,1305
2887713124,2338577992,41376,443,TCP,1684513173000,11.662,22,1668
3270640130,2887713124,443,37912,TCP,1684513185000,44.979,26,7816
2887713124,3270640130,37912,443,TCP,1684513185000,44.983,29,2589
3270640130,2887713124,443,40560,TCP,1684513241000,11.007,11,5930
2887713124,3270640130,40560,443,TCP,1684513241000,11.007,13,1084
2887713124,2817256555,38652,443,TCP,1684513246000,30.853,15,1253
2817256555,2887713124,443,38652,TCP,1684513246000,30.651,9,4404
3110066731,2887713124,443,50806,TCP,1684513252000,41.056,14,4429
2887713124,3110066731,50806,443,TCP,1684513252000,41.057,18,1579
3116523079,2887713124,443,39390,TCP,1684513276000,32.461,18,6499
2887713124,3116523079,39390,443,TCP,1684513276000,32.647,20,1972
2887713124,603244703,37716,443,TCP,1684513304000,1.614,14,1211
2887713124,603244703,47808,443,TCP,1684513316000,1.618,16,1274
2887713124,603244703,47810,443,TCP,1684513321000,1.602,15,1255
2887713124,603244703,33490,443,TCP,1684513325000,1.827,15,1243
603244703,2887713124,443,37716,TCP,1684513304000,1.612,14,6645
603244703,2887713124,443,47808,TCP,1684513316000,1.615,16,6709
603244703,2887713124,443,47810,TCP,1684513321000,1.6,16,7301
603244703,2887713124,443,33490,TCP,1684513325000,1.826,15,6677
3407737164,2887713124,443,39614,TCP,1684513342000,32.035,23,5871
2887713124,3407737164,39614,443,TCP,1684513342000,32.135,22,1647
134744072,2887713124,443,56322,TCP,1684513199000,291.838,354,49590
