ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2023-05-18 18:19:26,2023-05-18 18:19:26,0.000,1.0.0.1,172.31.1.100,443,41540,TCP,...A...F,0,0,2,64,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.069,    4.650,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:13,2023-05-18 18:19:25,12.221,194.242.2.2,172.31.1.100,443,45816,TCP,...APR.F,0,0,11,1453,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.231,    3.956,    3.806,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:16,2023-05-18 18:19:30,14.928,76.76.2.11,172.31.1.100,443,37432,TCP,...AP..F,0,0,4,152,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,14927.777,    0.060,    0.103,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:26,2023-05-18 18:19:26,0.004,172.31.1.100,1.0.0.1,41540,443,TCP,...AP..F,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.069,    4.650,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:13,2023-05-18 18:19:25,12.220,172.31.1.100,194.242.2.2,45816,443,TCP,...AP..F,0,0,12,887,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.231,    3.956,    3.806,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:16,2023-05-18 18:19:30,14.928,172.31.1.100,76.76.2.11,37432,443,TCP,...APR.F,0,0,6,180,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,14927.777,    0.060,    0.103,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:17,2023-05-18 18:19:54,36.939,172.31.1.100,101.101.101.101,57152,443,TCP,...AP.SF,0,0,19,1569,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.098,   50.993,    5.370,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:52,2023-05-18 18:19:56,4.203,172.31.1.100,103.62.48.147,53178,443,TCP,...AP.S.,0,0,13,1367,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.087,    7.178,    5.695,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:17,2023-05-18 18:19:54,36.888,101.101.101.101,172.31.1.100,443,57152,TCP,...AP.SF,0,0,13,7180,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.098,   50.993,    5.370,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:52,2023-05-18 18:19:52,0.085,103.62.48.147,172.31.1.100,443,53178,TCP,...AP.S.,0,0,9,4233,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.087,    7.178,    5.695,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:56,2023-05-18 18:20:15,18.979,172.31.1.100,103.62.48.147,53178,443,TCP,...AP...,0,0,11,1074,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0, 2014.325,    1.322,    0.255,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:56,2023-05-18 18:20:02,6.193,103.62.48.147,172.31.1.100,443,53178,TCP,...AP...,0,0,13,1024,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0, 2014.325,    1.322,    0.255,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:20:17,2023-05-18 18:20:24,6.379,76.76.2.11,172.31.1.100,443,53950,TCP,...AP.S.,0,0,20,4755,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.078,    6.217,    4.460,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:20:17,2023-05-18 18:20:24,6.379,172.31.1.100,76.76.2.11,53950,443,TCP,...AP.S.,0,0,20,1795,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.078,    6.217,    4.460,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
